site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
BUJUMBURA,2233214,-3.38333333333333,29.35,,44000.0,3.3
BUJUMBURA,2233215,-3.38333333333333,29.35,,44000.0,3.3
BUJUMBURA,2233252,-3.38333333333333,29.35,,24800.0,5.36
BUJUMBURA,2233255,-3.38333333333333,29.35,,24000.0,5.89
BUJUMBURA,2233256,-3.38333333333333,29.35,,24000.0,5.89
BUJUMBURA,2233275,-3.38333333333333,29.35,,24000.0,6.6645
BUJUMBURA,2233290,-3.38333333333333,29.35,,24000.0,6.983
BUJUMBURA,2233296,-3.38333333333333,29.35,,24000.0,8.0
BUJUMBURA,2233297,-3.38333333333333,29.35,,23000.0,8.0
BUJUMBURA,2233298,-3.38333333333333,29.35,,23000.0,8.0
BUJUMBURA,2233299,-3.38333333333333,29.35,,24000.0,8.11
BUJUMBURA,2233181,-3.4,29.35,,31800.0,10.121
BUJUMBURA,2233182,-3.4,29.35,,31800.0,10.121
BUJUMBURA,2233258,-3.35,29.3666666666666,,17000.0,6.2735
BUJUMBURA,2233170,-3.4,29.3666666666666,,24800.0,0.255
BUJUMBURA,2233172,-3.4,29.3666666666666,,20000.0,0.285
BUJUMBURA,2233183,-3.4,29.3666666666666,,37800.0,10.211
BUJUMBURA,2233184,-3.4,29.3666666666666,,34800.0,10.211
BUJUMBURA,2233253,-3.4,29.3666666666666,,14800.0,5.83
BUJUMBURA,2233257,-3.4,29.3666666666666,,13000.0,6.272
BUJUMBURA QQ,2233190,-3.33333333333333,29.3166666666666,,30000.0,13.87
BUJUMBURA QQ,2233202,-3.33333333333333,29.3166666666666,,24800.0,16.245
BUJUMBURA QQ,2233292,-3.33333333333333,29.3166666666666,,24800.0,7.84
BUJUMBURA QQ,2233187,-3.38333333333333,29.35,,24100.0,11.565
BUJUMBURA QQ,2233207,-3.38333333333333,29.35,,24100.0,17.4575
BUJUMBURA QQ,2233213,-3.38333333333333,29.35,,21100.0,2.02
BUJUMBURA QQ,2233217,-3.38333333333333,29.35,,24000.0,3.725
BUJUMBURA QQ,2233279,-3.38333333333333,29.35,,21100.0,6.84
BUJUMBURA QQ,2233303,-3.38333333333333,29.35,,24100.0,9.0405
BUJUMBURA QQ,2233216,-3.4,29.3666666666666,,27000.0,3.579
BULULE,2233226,-3.91666666666666,29.6166666666666,,10000.0,403.3
BULULE,2233236,-3.91666666666666,29.6166666666666,,3000.0,428.5
BURURI,2233271,-3.95,29.6166666666666,,13000.0,6.6645
BURURI QQ,2233220,-3.95,29.6166666666666,,13000.0,3.725
BURURI QQ,2233278,-3.95,29.6166666666666,,16000.0,6.84
CIBITOKE,2233231,-2.88333333333333,29.1333333333333,,3000.0,415.9
GITEGA,2233176,-3.43333333333333,29.9166666666666,,14000.0,0.36
KIHUNGWE,2233178,-3.13333333333333,29.2833333333333,,14000.0,0.385
KIRUNDO,2233173,-2.4,30.25,,14000.0,0.295
KITEGA,2233230,-3.41666666666666,29.9333333333333,,10000.0,414.1
KITEGA,2233232,-3.41666666666666,29.9333333333333,,3000.0,423.1
KITEGA,2233277,-3.43333333333333,29.9333333333333,,13000.0,6.6645
KITEGA,2233254,-3.41666666666666,29.95,,14800.0,5.83
KITEGA,2233259,-3.41666666666666,29.95,,13000.0,6.38
KITEGA,2233263,-3.41666666666666,29.95,,13000.0,6.38
KITEGA QQ,2233282,-3.43333333333333,29.9333333333333,,13000.0,6.84
KITEGA QQ,2233222,-3.41666666666666,29.95,,13000.0,3.725
MUGERA,2233245,-3.41666666666666,29.9333333333333,,3000.0,461.35
MUGERA,2233247,-3.46666666666666,29.9666666666666,,3000.0,463.15
MUGONGO,2233238,-3.4,29.55,,10000.0,441.53
MUGONGO,2233240,-3.4,29.55,,3000.0,448.7
MUGONGO,2233241,-3.4,29.55,,3000.0,448.75
MUGONGO,2233242,-3.4,29.55,,10000.0,452.35
MUGONGO,2233243,-3.4,29.55,,3000.0,454.15
MUGONGO,2233244,-3.4,29.55,,10000.0,455.95
MUGONGO,2233239,-3.41666666666666,29.55,,3000.0,445.15
MURAMVYA,2233227,-3.26666666666666,29.55,,3000.0,406.9
MURAMVYA,2233270,-3.25,29.6,,13000.0,6.6645
MURAMVYA,2233246,-2.85,30.3333333333333,,3000.0,462.25
MURAMVYA QQ,2233219,-3.25,29.6,,13000.0,3.725
MURAMVYA QQ,2233286,-3.25,29.6,,13000.0,6.84
MUYINGA,2233262,-2.83333333333333,30.3333333333333,,13000.0,6.38
MUYINGA,2233266,-2.83333333333333,30.3333333333333,,13000.0,6.38
MUYINGA,2233274,-2.83333333333333,30.3333333333333,,13000.0,6.6645
MUYINGA,2233175,-2.85,30.35,,14000.0,0.345
MUYINGA QQ,2233225,-2.83333333333333,30.3333333333333,,13000.0,3.725
MUYINGA QQ,2233285,-2.85,30.3333333333333,,13000.0,6.84
NGOZI,2233229,-2.9,29.8333333333333,,10000.0,412.3
NGOZI,2233237,-2.9,29.8333333333333,,10000.0,429.4
NGOZI,2233233,-2.91666666666666,29.8333333333333,,3000.0,424.0
NGOZI,2233235,-2.91666666666666,29.8333333333333,,10000.0,425.8
NGOZI,2233276,-2.98333333333333,29.8333333333333,,13000.0,6.6645
NGOZI QQ,2233221,-2.98333333333333,29.8333333333333,,13000.0,3.725
NGOZI QQ,2233281,-2.98333333333333,29.8333333333333,,13000.0,6.84
NYANZA LAC,2233177,-4.35,29.6,,14000.0,0.375
RUTANA,2233260,-3.91666666666666,29.9833333333333,,13000.0,6.38
RUTANA,2233264,-3.91666666666666,29.9833333333333,,13000.0,6.38
RUTANA,2233272,-3.91666666666666,29.9833333333333,,13000.0,6.6645
RUTANA QQ,2233223,-3.91666666666666,29.9833333333333,,13000.0,3.725
RUTANA QQ,2233283,-3.93333333333333,29.9833333333333,,13000.0,6.84
RUYIGI,2233261,-3.46666666666666,30.25,,13000.0,6.38
RUYIGI,2233265,-3.46666666666666,30.25,,13000.0,6.38
RUYIGI,2233273,-3.46666666666666,30.25,,13000.0,6.6645
RUYIGI,2233234,-3.48333333333333,30.25,,3000.0,424.9
RUYIGI QQ,2233224,-3.46666666666666,30.25,,13000.0,3.725
RUYIGI QQ,2233284,-3.46666666666666,30.25,,13000.0,6.84
RWEGURA,2233174,-2.91666666666666,29.5166666666666,,14000.0,0.305
SONGA,2233248,-4.18333333333333,29.7333333333333,,3000.0,465.15
SONGA,2233249,-4.18333333333333,29.7333333333333,,3000.0,466.75
